first,last,prediction
1696201830,1696201859,1.4783417107537389
1696202880,1696202889,8.959616720676422
1696203390,1696203399,6.317576766014099
1696203690,1696203699,0.7665305398404598
1696204240,1696204259,0.21547220530919725
1696204260,1696204299,0.15470391954295332
1696204380,1696204399,5.265426295227371
1696206220,1696206229,11.797314882278442
1696220470,1696220479,10.707328468561172
1696227190,1696227209,10.639354214072227
1696227240,1696227249,10.013070702552795
1696228550,1696228559,11.08277067542076
1696228560,1696228579,1.598404510787077
1696228970,1696228979,0.0004304991762182
1696228980,1696228989,0.0180304050445556
1696229270,1696229279,0.0524897477589547
1696229280,1696229289,0.0213122722925618
1696229590,1696229609,0.0962274255471129
1696229910,1696229929,0.6522558367578313
1696230720,1696230749,1.6087529408347716
1696233160,1696233169,7.058338075876236
1696233680,1696233719,3.7302750231901878
1696233720,1696233769,5.507111735641956
1696233940,1696233949,13.462232053279877
1696234660,1696234669,7.3805071413517
1696234710,1696234739,9.310018395384153
1696234740,1696234779,3.062875522300601
1696235250,1696235259,12.945547699928284
1696235420,1696235429,4.365755245089531
1696235470,1696235489,7.2335537523031235
1696235640,1696235649,4.976262524724007
1696235700,1696235749,8.012448884546757
1696235770,1696235779,9.063629806041718
1696236030,1696236039,2.305388636887073
1696236200,1696236209,8.435464650392532
1696236330,1696236349,3.2668658532202244
1696236370,1696236399,12.100150684515635
1696236420,1696236479,2.652877072493235
1696236600,1696236659,6.756044644862413
1696236700,1696236709,9.411410242319109
1696236750,1696236779,8.767613396048546
1696236780,1696236839,6.0530221710602445
1696236850,1696236879,10.205100104212761
1696237160,1696237169,8.042850345373154
1696237210,1696237229,11.82342991232872
1696237300,1696237319,9.94429737329483
1696237320,1696237349,6.383481714874506
1696237420,1696237429,5.415649339556694
1696237500,1696237559,12.023889273405077
1696237570,1696237609,5.3211550693959
1696237680,1696237689,11.772312223911284
1696237750,1696237769,14.542895555496216
1696237860,1696237919,7.5219377254446345
1696237940,1696237959,8.947526291012764
1696238000,1696238009,12.447988241910934
1696238720,1696238729,5.224013328552246
1696238760,1696238769,12.78226673603058
1696239010,1696239029,9.328531101346016
1696239200,1696239219,1.4975817990489304
1696239320,1696239329,10.262882709503174
1696239360,1696239369,0.8480760268867016
1696239650,1696239659,12.91494220495224
1696239670,1696239679,2.277825213968754
1696239830,1696239839,12.579002976417542
1696239840,1696239849,12.04465627670288
1696239930,1696239959,4.7836202041556435
1696239960,1696240019,5.344221629202366
1696240020,1696240079,4.054670035839081
1696240080,1696240139,3.6867229578395686
1696240140,1696240189,1.2350332224741578
1696240380,1696240429,5.59155629016459
1696240440,1696240459,10.931819677352905
1696240570,1696240579,8.543755114078522
1696240640,1696240679,8.290526643395424
1696240750,1696240789,4.739129543304443
1696240860,1696240919,4.773733640710513
1696240920,1696240949,3.1321592861786485
1696241010,1696241039,12.826795876026154
1696241130,1696241139,6.605661660432816
1696241200,1696241209,2.5507399812340736
1696241230,1696241269,1.8235099967569113
1696241280,1696241339,9.494386675457159
1696241340,1696241349,14.494262635707855
1696241440,1696241449,12.661053240299225
1696241480,1696241519,9.9721759557724
