first,last,prediction
1696201190,1696201199,100.0
1696201200,1696201209,99.99876022338867
1696201210,1696201219,99.99998807907104
1696201220,1696201229,99.99997615814209
1696201230,1696201239,100.0
1696201240,1696201249,99.99988079071045
1696201250,1696201259,100.0
1696201260,1696201269,100.0
1696201270,1696201279,99.99991059303284
1696201280,1696201289,100.0
1696201290,1696201299,99.99822974205017
1696201300,1696201309,100.0
1696201310,1696201319,100.0
1696201320,1696201329,99.99980926513672
1696201330,1696201339,99.99982118606567
1696201340,1696201349,100.0
1696201350,1696201359,99.99999403953552
1696201360,1696201369,99.99995827674866
1696201370,1696201379,99.90252256393433
1696201380,1696201389,100.0
1696201390,1696201399,100.0
1696201400,1696201409,100.0
1696201410,1696201419,99.99998211860657
1696201420,1696201429,100.0
1696201430,1696201439,99.99998807907104
1696201440,1696201449,99.99925494194031
1696201450,1696201459,100.0
1696201460,1696201469,100.0
1696201470,1696201479,100.0
1696201480,1696201489,99.99992847442627
1696201490,1696201499,95.81437110900879
1696201500,1696201509,89.26136493682861
1696201510,1696201519,100.0
1696201520,1696201529,99.9988317489624
1696201530,1696201539,100.0
1696201540,1696201549,100.0
1696201550,1696201559,100.0
1696201560,1696201569,100.0
1696201570,1696201579,62.83767223358154
1696201580,1696201589,100.0
1696201590,1696201599,100.0
1696201600,1696201609,100.0
1696201610,1696201619,100.0
1696201620,1696201629,99.97939467430115
1696201630,1696201639,100.0
1696201640,1696201649,99.99999403953552
1696201650,1696201659,100.0
1696201660,1696201669,99.99999403953552
1696201670,1696201679,100.0
1696201680,1696201689,100.0
1696201690,1696201699,100.0
1696201700,1696201709,100.0
1696201710,1696201719,100.0
1696201720,1696201729,99.99852776527405
1696201730,1696201739,99.9997079372406
1696201740,1696201749,100.0
1696201750,1696201759,99.99999403953552
1696201760,1696201769,99.99881982803345
1696201770,1696201779,99.99999403953552
1696201780,1696201789,99.99997615814209
1696201790,1696201799,99.99998807907104
1696201800,1696201809,99.99997615814209
1696201810,1696201819,100.0
1696201820,1696201829,99.99999403953552
1696201830,1696201839,99.96674060821533
1696201840,1696201849,100.0
1696201850,1696201859,96.63052558898926
1696201860,1696201869,91.07184410095215
1696201870,1696201879,96.64109945297241
1696201880,1696201889,84.50469970703125
1696201890,1696201899,98.25156927108765
1696201900,1696201909,86.27291321754456
1696201910,1696201919,59.91470217704773
1696201920,1696201929,99.99998807907104
1696201930,1696201939,47.49312102794647
1696201940,1696201949,99.98545050621033
1696201950,1696201959,100.0
1696201960,1696201969,99.99993443489075
1696201970,1696201979,99.99998211860657
1696201980,1696201989,99.99999403953552
1696201990,1696201999,100.0
1696202000,1696202009,99.9999463558197
1696202010,1696202019,100.0
1696202020,1696202029,99.99999403953552
1696202030,1696202039,99.99998807907104
1696202040,1696202049,99.99999403953552
1696202050,1696202059,99.99985098838806
1696202060,1696202069,99.99998807907104
1696202070,1696202079,100.0
1696202080,1696202089,100.0
1696202090,1696202099,100.0
1696202100,1696202109,100.0
1696202110,1696202119,99.79538321495056
1696202120,1696202129,99.99999403953552
1696202130,1696202139,100.0
1696202140,1696202149,100.0
1696202150,1696202159,99.99998211860657
1696202160,1696202169,100.0
1696202170,1696202179,100.0
1696202180,1696202189,100.0
1696202190,1696202199,99.99998807907104
1696202200,1696202209,99.99998211860657
1696202210,1696202219,99.99998211860657
1696202220,1696202229,100.0
1696202230,1696202239,100.0
1696202240,1696202249,100.0
1696202250,1696202259,100.0
1696202260,1696202269,99.99994039535522
1696202270,1696202279,99.99998211860657
1696202280,1696202289,100.0
1696202290,1696202299,100.0
1696202300,1696202309,100.0
